time,open,high,low,close,volume,count
1696118400,25507.0,25526.7,25499.2,25526.7,1.37303653,98
1696119300,25526.8,25526.8,25510.7,25518.2,1.39746204,68
1696120200,25517.1,25540.6,25504.4,25537.8,1.95519696,52
1696121100,25537.8,25537.8,25526.4,25532.9,0.10509255,41
1696122000,25532.9,25542.9,25524.3,25535.4,0.19276384,76
1696122900,25535.5,25570.1,25524.6,25563.1,0.39712662,90
1696123800,25560.6,25560.6,25560.5,25560.6,0.14571112,55
1696124700,25560.5,25573.2,25560.5,25562.4,1.55464504,69
1696125600,25562.4,25585.8,25562.3,25576.6,2.80263704,86
1696126500,25576.6,25585.4,25576.5,25585.4,0.10612766,45
1696127400,25585.3,25585.4,25564.7,25564.8,0.1535024,50
1696128300,25564.8,25580.0,25564.8,25569.8,0.321114,53
1696129200,25569.9,25571.1,25559.8,25559.8,0.59788544,76
1696130100,25559.9,25585.3,25558.7,25585.3,0.25368248,58
1696131000,25585.3,25585.5,25579.1,25579.1,1.6079848,45
1696131900,25572.4,25586.4,25572.3,25584.7,2.38440435,72
1696132800,25584.7,25586.8,25564.4,25569.2,0.92135852,68
1696133700,25569.3,25572.7,25569.2,25572.7,1.25736806,51
1696134600,25572.6,25572.7,25569.4,25572.6,0.53275099,42
1696135500,25572.5,25588.2,25572.5,25586.7,2.36832227,71
1696136400,25586.7,25591.2,25586.7,25590.7,1.60643433,191
1696137300,25590.7,25608.5,25590.1,25608.4,0.28055254,121
1696138200,25608.4,25612.5,25603.4,25612.5,0.65708242,73
1696139100,25612.5,25614.0,25612.4,25614.0,2.77939641,115
1696140000,25614.0,25635.6,25613.9,25635.6,5.30572865,244
1696140900,25635.6,25639.7,25632.2,25632.5,2.65612103,179
1696141800,25632.5,25666.7,25632.4,25645.8,9.85114934,271
1696142700,25645.9,25675.8,25645.8,25674.2,33.02574714,481
1696143600,25674.2,25698.4,25672.7,25692.9,20.80504113,296
1696144500,25692.7,25694.4,25642.4,25645.1,18.85402369,362
1696145400,25651.5,25670.8,25651.4,25666.9,2.69996427,139
1696146300,25666.8,25666.8,25652.3,25653.2,8.49357094,146
1696147200,25653.2,25653.2,25645.6,25645.7,2.24668756,185
1696148100,25645.6,25653.2,25637.7,25653.2,2.67307132,142
1696149000,25653.2,25681.0,25653.1,25680.5,3.72623957,179
1696149900,25682.7,25694.3,25674.9,25674.9,7.79624135,158
1696150800,25675.0,25693.9,25674.9,25693.0,9.42497757,202
1696151700,25693.1,25754.6,25689.0,25744.1,14.34458811,235
1696152600,25744.0,25754.0,25713.2,25725.1,12.05656033,200
1696153500,25725.1,25755.0,25717.0,25755.0,1.84964098,151
1696154400,25755.0,25813.6,25754.9,25777.8,17.85545892,496
1696155300,25785.4,25787.0,25748.6,25763.1,9.93981036,206
1696156200,25763.1,25763.1,25713.4,25713.4,2.18560973,180
